Title,Year,Location,Description,Tag,Images.1,URL,Building or project owner,Architecture,Project artist/ concept/ design/ planning,Structural engineering,Light design,Technical layout light,Display content/ visuals/ showreel,Light hardware (LED hardware),Lighting control software,Interaction design/ programming,Facade type and geometry (structure),Kind of light creation,Resolution and transmitting behaviour,Urban situation,Description of showreel,Mediacredits,Project co-ordination,Project sponsor/ support,Community or communities involved,Legal form,Issues addressed,Impact,Tools developed,Tools used,Next steps,Host organization,Facade design,Facade construction,Kinetic engineering,Membrane skin,Pixel distance,Luminace,Pixel or other basic module/ elements
"MEDIA SCULPTURE ""PARTICLES OF LIFE""",2018,"Ukraine, Odesa","In the atrium of the big private clinic, there is a mounted media sculpture that symbolizes cells in which life pulsates. The sculpture is made from the carcass in which the stainless steel particles are placed. Five lighting scenes were laid into the concept. The illumination is coherent with the biological rhythms of a human being. That's why we developed the content made in colors that correspond with one or another time of the day and have a positive influence on the activity of body systems.","['#Ukraine', '#2018', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/59/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/59,"Medical center ""ODREX"", Odesa, Ukraine",,"Mikhail Reva, sculptor, Odesa, Ukraine",,"Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine",,,Inner 16-channel and outer 12-channel multimedia LED-lamps,,,,"Expolight, Expolight, Expolight, Expolight, Expolight, Expolight",,,,,,,,,,,,,,,,,
HYUNDAI PAVILION FIELD OF STARS,2018,"South Korea, Pyeongchang",A glittering field of stars in front of the darkest building on earth,"['#South Korea', '#2018', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/60/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/60,Hyundai Motor Company,Asif Khan,"Asif Khan, iart",AKTII,Asif Khan,iart,"Asif Khan, iart",iart,iart,"Asif Khan, iart",The pavilion measured 35m (width) x 35m (width) x 10m (height). Its facades were designed parabolic shape to let as little daylight as possible hit the surface.,"We used high-power LED Whites with a colour temperature of 4000K and 1W per LED. They were cast in a custom, waterproof housing and placed on aluminium rods.","Approximately 2000 LEDs were used in total, each with 16 bit resolution.","The pavilion was located at a central site in the Olympic Park in Pyeongchang and attracted a total of 60,000 visitors.","To create the illusion of twinkling stars, an interference effect was used. It caused the light points to shimmer in a way that came close to the refraction of light in the Earth's atmosphere. The brightness of the LEDs was determined by the visibility of the actual star and the distance of the LED from the viewer, and adjusted according to the ambient light measured by sensors (one per facade).","Luke Hayes, iart, iart, iart, iart",Innocean Worldwide,,,,,,,,,,Asif Khan,GL,,,"The arrangement of the LEDs was based on stellar constellations. In order to suggest a feeling of depth (parallax), the LEDs were fitted on rods of different lengths (30 cm - 3m).",,
INTERACTIVE MEDIA STRUCTURE “PULSE OF LIFE”,2017,"France, Paris","Interactive Media Structure ""The Pulse of Life"" was created for the Paris Design Week in Paris (2017) in collaboration with the Architectural Bureau ""Decor Kuznetsov"". The spatial interactive media sculpture was created to resemble the image of a human's heart. Recyclables used as a material were wastes from the footwear production. We combined different principles of lighting: an internal light from colored multi-channel lamps under different angles, a controllable outer light, and a 3d-mapping projection. Using 3d-mapping and internal lamps the sculpture became a stencil for interesting shadows. All the installation was tied to a single media server and accompanied by the audio content, which recreated the heartbeat on the background of meditative music. In addition, the sculpture was interactive. Kinetic sensors, which reacted to human movement, were placed around it.","['#France', '#2017', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/61/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/61,,,"Architectural Bureau ""Decor Kuznetsov"", Dnipro, Ukraine",,"Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine",,,"An internal light from colored multi-channel lamps under different angles, a controllable outer light, and a 3d-mapping projection.",,,,"Expolight, Expolight, Expolight, Expolight, Expolight, Expolight",,,,,,,,,,,,,,,,,
HYUNDAI PAVILION INTERACTIVE WATER INSTALLATION,2018,"South Korea, Pyeongchang",An interactive choreography of water droplets,"['#South Korea', '#2018', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/62/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/62,Hyundai Motor Company,Asif Khan,"Asif Khan, iart",Cutting Edge,,,"Asif Khan, iart",,iart,"Asif Khan, iart","The water installation extended over nearly the entire area of the 20m x 12m space. It consisted of a three-dimensionally curved Corian surface with hydrophobic coating. The upper part of the installation featured grooves (including intersections, splits and junctions). At the lower end was the lake.","Droplet creation: A total of 258 nozzles were built into the circumference of the installation. They could be switched on an off, size and frequency of the droplets could be manually adjusted. The droplets emitted underneath the airholes could be adjusted individually in size and frequency.",,"The pavilion was located at a central site in the Olympic Park in Pyeongchang and attracted a total of 60,000 visitors.","Visitors were able to interact with the installation either by pouring water in small funnels or by moving their hands over apertures that emitted a gentle draft of air. This allowed them to influence the rhythm of the water droplets. At the installation's lower end, the flows of individual droplets collected, grew and built into a 'lake' which drained and reappeared in the space of minutes.","Luke Hayes, Luke Hayes, Luke Hayes, Luke Hayes, iart",Innocean Worldwide,,,,,,,,,,,,"iart, Institute of Thermal and Fluid Engineering FHNW",,,,
SHOPPING CENTER “PASSAGE”,2011,"Ukraine, Dnipro","The first large-scale interactive facade in Ukraine. The structure of the facade is almost windowless and consists of niches around the perimeter of all the building on all the three floors. Each niche, in fact, is a ""pixel"" in a pattern, but the pattern itself has low resolution while the pixels are big. That created a certain difficulty in creating content. As a result, the illumination of the shopping center ""Passage"" can be considered a pixel art of low resolution.","['#Ukraine', '#2011', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/63/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/63,"AXELROD ESTATE LLC, Dnipro, Ukraine","Dolnik & CO Ltd., Dnipro, Ukraine","Dolnik & CO Ltd., Dnipro, Ukraine","Dolnik & CO Ltd., Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine",,"The building's structure is a monolithic reinforced concrete frame. Ventilated facades of the building are made of gray granite. Small window openings are used for dynamic illumination, and large ones for advertising; The largest opening is provided for the multifunctional screen. The longitudinal volume of the complex is divided by a glazed atrium-atrium of 9-meter width.",Multimedia LED light sources,,,,"Expolight, Expolight, Expolight, Expolight, E[polight, Expolight",,,,,,,,,,,"Dolnik & CO Ltd., Dnipro, Ukraine","Dolnik & CO Ltd., Dnipro, Ukraine",,,,,
RESIDENTIAL COMPLEX “TETRIS HALL”,2016,"Ukraine, Kiev","The facade of the residential complex ""Tetris Hall"" has multiple layers of fenestration of multiple sizes. We bound lighting to the biggest windows to dispense the minimal amounts of lamps and not to cover all the facade. Under the lamps, the special content was developed whose plot is falling figures of Tetris that transform the building. The content implies a diverse change of shades including lighting support of events and festivals.","['#Ukraine', '#2016', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/65/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/65,"KAN Development, Kiev, Ukraine","Pashenko Architectural Studio, Kiev, Ukraine","Pashenko Architectural Studio, Kiev, Ukraine","Pashenko Architectural Studio, Kiev, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine",,Construction technology - monolithic frame. Filling walls - brick. Finishing of the facade - granite tiles.,Multimedia LED light sources,,,,"Expolight, Expolight, Expolight, Expolight, Expolight, Expolight",,,,,,,,,,,"Pashenko Architectural Studio, Kiev, Ukraine","Pashenko Architectural Studio, Kiev, Ukraine",,,,,
RESTAURANT “NORMAL”,2018,"Ukraine, Kiev","""Normal"" is a restaurant in Kyiv, Ukraine. The concept of this place aims at changing the atmosphere in it depending on the restaurant schedule. The daylight scene is static and uses neutral tones; in the evening, however, the dynamics are added with more active color palette, and then it adds red in a nightclub mode, while the graffiti get supplemented by the content of different activity degrees to match the emotional state of one or another time of the day. 3D-mapping technology is used for animation of the graffiti. More than 30 variations of projections change themselves by special timings in consistency with common scenes of lighting. The backlight of the bar counter and the construction of scene and corridor are also dynamic and diverse. All of the lighting devices are controlled by a single specially designed system.","['#Ukraine', '#2018', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/66/1_big.jpg,https://awards.mediaarchitecture.org/mab/project/66,,,"YOD Design Lab, Kiev, Ukraine",,"Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine",,,Multimedia LED light sources and 3D-mapping.,,,,"Expolight, Expolight, Normal, Expolight, Expolight, Expolight",,,,,,,,,,,,,,,,,
RESIDENTIAL COMPLEX “CHICAGO CENTRAL HOUSE”,2019,"Ukraine, Dnipro","A cube on the facade of Chicago Central House will become the first massive media sculpture in Ukraine and Europe that will show the invisible rhythm of the city on its screen using digital content. The sculpture itself will be a 5x5 meter cube placed into a glass shell. The facade itself will also be dynamically lit, and the illumination will interact with the illumination of the media sculpture. For example, if along all the height of the facade, there will be an imitation of a waterfall, the cube will turn into a giant aquarium from which the water will fall loudly. For all the variations of scenarios, the audio content will be developed.","['#Ukraine', '#2019', '#Future trends & prototypes']",https://awards.b-cdn.net/site_media/media/jurysys/media/67/2_big.jpg,https://awards.mediaarchitecture.org/mab/project/67,"Saga Development, Kiev, Ukraine","Private enterprise Architectural workshop of Yuri Borodkin, Kiev, Ukraine","Private enterprise Architectural workshop of Yuri Borodkin, Kiev, Ukraine","Private enterprise Architectural workshop of Yuri Borodkin, Kiev, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine","Expolight, Dnipro, Ukraine",,"Faíçade: Ventilated, hinged. Clinker tiles and ceramic granite, natural marble. Glazing: six chamber reinforced profile, two chamber energy-saving glass packages.",,,,,"Expolight, Normal, Expolight, Expolight, Expolight",,,,,,,,,,,"Private enterprise Architectural workshop of Yuri Borodkin, Kiev, Ukraine","Private enterprise Architectural workshop of Yuri Borodkin, Kiev, Ukraine",,,,,
ZEITKUGELN,2016,"Austria, Vienna",A mediaart installation with everyday utitlity,"['#Austria', '#2016', '#Spatial media art', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/70/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/70,Wien 3420 aspern Development AG,http://www.heriundsalli.com/flederhaus-in-der-seestadt/,"Jan Lauth, Julia Kunert, Illy Kokallesku",,,,,,Christoph Müller,,,,,urban development area,,"Jan Lauth, Jan Lauth, Jan Lauth",,,,,,,,,,,,,,,,,
TERRELL PLACE,2016,"United States of America, Washington, D.C.","Walls That Move With You: Washington, D.C.'s Terrell Place has 1,700-square-feet of Motion-Activated LED Displays That Respond to Your Presence","['#United States of America', '#2016', '#Branded Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/71/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/71,Beacon Capital Partners,Gensler,ESI Design,"Advance Structural Concept, LLC",ESI Design,"ESI Design, Diversified Systems",ESI Design,VER,"ESI Design, AV&C","ESI Design, AV&C, Sound Design & Production by 30/70 Productions Ltd.","Rectangular, integrated into lobby walls",RGB LED Tile,Diffused: Gerriets Frost Diffusion Material,"Commercial office building on a busy street in Washington, D.C.","Season' mode shows the lifecycle of the iconic DC cherry trees, from spring blossoms to snow-covered branches. 'Color Play' shows algorithmically-generated patterns of multi-color threads, weaving a tapestry that reflects the building activity. 'City Scape' pays homage to the city with iconic architecture, statuary and transportation scenes that are brought to life by people passing by.","Photo Credit: Caleb Tkach, Photo Credit: Caleb Tkach, Photo Credit: Caleb Tkach, Photo Credit: Caleb Tkach, Video Credit: Caleb Tkach, Jeff Wolfram and Erik Stenbakken",ESI Design,Beacon Capital Partners,,,,,,,,,ESI Design,Art Display Co.,,Cinematic Interiors (Gerriets Frost Diffusion Material),5.7mm,,
THE INFINITY ROOM,2017,"Germany, Weimar",360Âº Virtual Reality Animation,"['#Germany', '#2017', '#Future trends & prototypes', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/73/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/73,Ulas Yener,,,,,,Ulas Yener,,,,,,8192x4096,,,"Ulas Yener, Ulas Yener, Ulas Yener, Ulas Yener",,,,,,,,"Autodesk 3dsMax, Mental Ray, Adobe CS6 After Effects",,,,,,,,,
WHERE DO WE GO FROM HERE?,2017,"United Kingdom, Hull",Where Do We Go From Here?,"['#United Kingdom', '#2017', '#Spatial media art']",https://awards.b-cdn.net/site_media/media/jurysys/media/77/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/77,Hull 2017,,Jason Bruges Studio,"Structure Workshop, The White Wall",,,,,,,,A range of end effector lights and reflectors created theatrical lighting arrangements. Moving head lights produced striking geometric formations. Fixed lights blinked like Morse Code to evoke the idea of robots communicating. Lights with directional speakers created an immersive experience. Spots lights danced across buildings and paving stones and the robots appeared to to investigate the space.,,Where Do We Go From Here? was placed across four sites in Hull's charming old town. This part of the city has a rich maritime heritage and a diverse combination of architectural styles from Gothic to Edwardian and Georgian. The robots were programmed to shine a light on the historical tapestry in which they were situated: the network of streets and alleys broken up with interesting public spaces.,,,Niccy Hallifax,"Arts Council England, Spirit of 2012",,,,,,,,,,,,,,,
"CHANGI AIRPORT'S TERMINAL 4 ""THEATRE OF EXPERIENCE""",2017,"Singapore, Singapore",Theatre of experience,"['#Singapore', '#2017', '#Spatial media art', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/78/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/78,Changi Airport Group (CAG),SAA Architects Pte Ltd // Benoy // AECOM // Beca Carter Hollings & Ferner,Moment Factory // Dick Lee,,,Moment Factory,Moment Factory,Nanolumens,,,"Its physical dimensions are 70 m wide by 5 m tall for the Departure screen and for the Heritage Screen, it is 8 m wide by 5 m tall.",,"The total resolution of the Security Area screen is 10,704 x 768 pixels. The LED pitch of the screen is 6 mm (1 pixel every 6 millimeters).",,,,,,,,,,,,,,,,,,"The total resolution of the Security Area screen is 10,704 x 768 pixels, for a total pixel space of 8,220,672 pixels. The LED pitch of the screen is 6 mm (1 pixel every 6 millimeters).",,
ONE SHENZHEN BAY,2018,"China, Shenzhen",One Shenzhen Bay | Ecological Environment Makes the Beauty of Arts,"['#China', '#2018', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/81/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/81,Zhouwen Chen / ParkLand Real Estate Development,Kohn Pedersen Fox Associated PC/CCDI GROUP,"Lighting Stories (Beijing) Cultural & Creative Co., Ltd ZHENG Jianwei, SHENG Yanming , LI Hao, Kohn Pedersen Fox Associated PC",,"Licht Kunst Licht AG, Andreas Schulz, Lucas King, Yichen Jiang, Stephan Thiele",,"Lighting Stories (Beijing) Cultural & Creative Co., Ltd ZHENG Jianwei SHENG Yanming, LI Hao",Osram LED (RGBW),"Osram e:cue, Derivative TouchDesigner","Lighting Stories (Beijing) Cultural & Creative Co., Ltd(LI Hao)",,,312*1996,,,,"ZENG Wanqiong, WANG Zhitao,SHENG Yanming,LI Hao",,,,,,,,,,Kohn Pedersen Fox Associated PC,,,,,,
FIREFLY,2017,"France, Paris",Fireflies in Paris,"['#France', '#2017', '#Branded Architecture', '#Animated Architecture']",https://awards.b-cdn.net/site_media/media/jurysys/media/82/0_big.jpg,https://awards.mediaarchitecture.org/mab/project/82,"La Grande Épicerie de Paris, FRANCK ET FILS",,,,"Tiphaine Treins, Temeloy","Andreas Barthelmes, Lightlife","Andreas Barthelmes, Lightlife",Cusomised LED-fixture by Lightlife,Osram E:cue Sympholight,"Andreas Barthelmes, Lightlife",Living wall with plants that are pre-planted in boxes and then hung on a wall vertically. Between the boxes with the plants there are luminaires installed creating the effect of flying fireflies. The LEDs and the cabeling is mounted on a profile at the faíçade so they are save as well during maintenance of cutting the plants.,LED fixture with customised optical system that is transporting the light outside infront of the plants. The optic is creating a very small direct light (firefly) and an indirect glow by reflecting most of the light back onto the plants. Dimming the light is decreasing the size of the glow and it seems like the fireflies are flying around the faíçade.,500 LED fixtures that can be controlled seperately. Warm white light created by a 3000K white LED combined with a green and a red LED to enhance the colour of the plants.,The rue de Passy in the 16th arrondissement is one of the area's busiest shopping streets with small shops and boutiques.,,"Kaixin LYU, Kaixin LYU, Kaixin LYU, Kaixin LYU, Lightlife",,,,,,,,,,,,Tracer Urban Nature,,,The pixels are installed in a random pattern with a distance of 50cm - 150cm. The lights have 4 different lenght depending on the type of plants and to keep the random pattern although in depth. Sometimes the lights are in front and sometimes behind the plants.,,
